Category,Product Name,Sales,Profit,Discount,Profit Margin %
Technology,Canon imageCLASS 2200 Advanced Copier,61599.82,25199.93,0.12,40.91
Office Supplies,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,27453.38,7753.04,0.24,28.24
Technology,Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,-1811.08,0.5,-8
Furniture,HON 5400 Series Task Chairs for Big and Tall,21870.58,0,0.2,0
Office Supplies,GBC DocuBind TL300 Electric Binding System,19823.48,2233.51,0.3,11.27
Office Supplies,GBC Ibimaster 500 Manual ProClick Binding System,19024.5,760.98,0.52,4
Technology,Hewlett Packard LaserJet 3310 Copier,18839.69,6983.88,0.2,37.07
Technology,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",18374.9,4094.98,0.17,22.29
Office Supplies,GBC DocuBind P400 Electric Binding System,17965.07,-1878.17,0.45,-10.45
Office Supplies,High Speed Automatic Electric Letter Opener,17030.31,-262,0.07,-1.54
Technology,Lexmark MX611dhe Monochrome Laser Printer,16829.9,-4589.97,0.4,-27.27
Office Supplies,Martin Yale Chadless Opener Electric Letter Opener,16656.2,-1299.18,0.1,-7.8
Office Supplies,Ibico EPK-21 Electric Binding System,15875.92,3345.28,0.33,21.07
Furniture,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",15610.97,-669.54,0.23,-4.29
Technology,"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89,3717.97,0,26
Technology,Samsung Galaxy Mega 6.3,13943.67,1822.76,0.13,13.07
Technology,Apple iPhone 5,12996.6,1611.58,0.2,12.4
Furniture,Bretford Rectangular Conference Table Tops,12995.29,-327.23,0.25,-2.52
Furniture,Global Troy Executive Leather Low-Back Tilter,12975.38,951.86,0.2,7.34
Technology,Canon PC1060 Personal Laser Copier,11619.83,4570.93,0.15,39.34
Furniture,SAFCO Arco Folding Chair,11572.78,1179.37,0.2,10.19
Office Supplies,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,11304.44,3247.02,0.05,28.72
Technology,Cubify CubeX 3D Printer Double Head Print,11099.96,-8879.97,0.53,-80
Furniture,DMI Eclipse Executive Suite Bookcases,11046.61,90.18,0.18,0.82
Office Supplies,Tennsco 6- and 18-Compartment Lockers,10925,1575.11,0.05,14.42
Technology,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,10822.36,3085.03,0.08,28.51
Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",10637.53,1927.44,0.14,18.12
Technology,LogitechÂ P710e Mobile Speakerphone,10196.6,1645.36,0.07,16.14
Furniture,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,9917.64,-2876.12,0.28,-29
Office Supplies,Tennsco Double-Tier Lockers,9630.86,429.79,0.1,4.46
Furniture,Bush Advantage Collection Racetrack Conference Table,9544.72,-1934.4,0.35,-20.27
Technology,Plantronics Savi W720 Multi-Device Wireless Headset System,9367.29,3696.28,0.06,39.46
Technology,Bady BDG101FRU Card Printer,9279.88,1327.98,0.2,14.31
Office Supplies,Tennsco Single-Tier Lockers,9158.3,-825.75,0.08,-9.02
Furniture,GuestStacker Chair with Chrome Finish Legs,9070.94,773.26,0.22,8.52
Technology,Canon Imageclass D680 Copier / Fax,8959.87,2799.96,0.2,31.25
Technology,Hewlett Packard 610 Color Digital Copier / Printer,8899.82,3124.94,0.14,35.11
Technology,Wilson Electronics DB Pro Signal Booster,8878.4,515.52,0.22,5.81
Furniture,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,8774.5,1305.65,0.1,14.88
Furniture,Global Deluxe High-Back Manager's Chair,8665.19,1558.59,0.19,17.99
Furniture,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,8431,1388.63,0.19,16.47
Furniture,Chromcraft Round Conference Tables,8209.06,-189.98,0.26,-2.31
Office Supplies,"Hot File 7-Pocket, Floor Stand",8138.23,2016.71,0.08,24.78
Office Supplies,Fellowes PB300 Plastic Comb Binding Machine,8070.19,2518.06,0.23,31.2
Technology,Cubify CubeX 3D Printer Triple Head Print,7999.98,-3839.99,0.5,-48
Office Supplies,Ibico Ibimaster 300 Manual Binding System,7985.38,2318.34,0.16,29.03
Furniture,Global Commerce Series High-Back Swivel/Tilt Chairs,7979.44,926.18,0.17,11.61
Technology,Okidata MB760 Printer,7834.4,881.37,0.2,11.25
Office Supplies,Adjustable Depth Letter/Legal Cart,7730.2,1932.55,0.07,25
Technology,Ativa V4110MDD Micro-Cut Shredder,7699.89,3772.95,0,49
Technology,Mitel MiVoice 5330e IP Phone,7699.72,780.97,0.18,10.14
